门店编号,下单时间,商品类别,商品名称,数量,小计金额,支付方式,就餐方式
3,2023/11/18 10:46,粥,小米粥,2,6,微信支付,外卖配送
7,2023/10/28 11:57,粗粮&小食,茶叶蛋,1,2,微信支付,打包带走
7,2023/10/28 11:57,粥,黑米粥,2,6,微信支付,打包带走
7,2023/10/28 11:57,饮品,豆浆,2,5,微信支付,打包带走
5,2023/10/24 7:15,饮品,豆浆,2,5,微信支付,打包带走
5,2023/10/24 7:15,鲜包,奶黄包,1,2,微信支付,打包带走
5,2023/10/24 7:15,饮品,豆浆,2,5,微信支付,打包带走
10,2023/10/8 11:25,烧卖,鲜肉烧卖,3,6,微信支付,打包带走
10,2023/10/8 11:25,饮品,红枣豆浆,1,3,微信支付,打包带走
7,2023/11/4 9:20,饮品,无糖豆浆,2,6,微信支付,外卖配送
13,2023/11/18 8:02,饮品,豆浆,2,5,微信支付,外卖配送
13,2023/11/18 8:02,烧卖,咸蛋黄烧卖,2,5,微信支付,外卖配送
10,2023/10/18 8:12,粗粮&小食,水煮蛋,2,3,云闪付,外卖配送
10,2023/10/18 8:12,粗粮&小食,红糖馒头,3,4.5,云闪付,外卖配送
6,2023/10/17 6:13,鲜包,鲜汁肉包,2,5,云闪付,打包带走
6,2023/10/17 6:13,鲜包,荠菜素包,1,1.5,云闪付,打包带走
6,2023/10/1 6:53,粗粮&小食,粗粮馒头,3,6,支付宝支付,外卖配送
6,2023/10/1 6:53,烧卖,鲜肉烧卖,3,6,支付宝支付,外卖配送
6,2023/10/1 6:53,鲜包,荠菜肉包,2,4,支付宝支付,外卖配送
1,2023/11/21 11:34,烧卖,糯米烧卖,1,1.5,微信支付,打包带走
8,2023/11/13 7:19,饮品,无糖豆浆,1,3,支付宝支付,打包带走
8,2023/11/13 7:19,饮品,红枣豆浆,1,3,支付宝支付,打包带走
13,2023/10/6 10:06,鲜包,荠菜肉包,3,6,云闪付,打包带走
8,2023/10/3 6:11,粗粮&小食,红糖馒头,3,4.5,支付宝支付,打包带走
8,2023/10/3 6:11,饮品,豆浆,1,2.5,支付宝支付,打包带走
8,2023/10/3 6:11,粗粮&小食,葱油饼,1,2.5,支付宝支付,打包带走
8,2023/10/22 10:37,鲜包,奶黄包,3,6,云闪付,外卖配送
3,2023/10/30 6:10,鲜包,梅干菜肉包,3,6,云闪付,外卖配送
3,2023/10/30 6:10,鲜包,香菇菜包,1,2,云闪付,外卖配送
3,2023/10/30 6:10,粗粮&小食,茶叶蛋,1,2,云闪付,外卖配送
13,2023/11/8 7:02,粥,玉米汁,1,3,云闪付,外卖配送
12,2023/10/6 10:41,饮品,无糖豆浆,1,3,支付宝支付,外卖配送
12,2023/10/6 10:41,饮品,红枣豆浆,2,6,支付宝支付,外卖配送
2,2023/10/23 11:25,烧卖,鲜肉烧卖,3,6,云闪付,外卖配送
12,2023/10/28 11:02,粗粮&小食,葱油饼,2,5,微信支付,打包带走
13,2023/10/30 9:43,饮品,红枣豆浆,3,9,支付宝支付,外卖配送
10,2023/10/26 8:10,烧卖,糯米烧卖,2,3,云闪付,打包带走
10,2023/10/26 8:10,饮品,豆浆,3,7.5,云闪付,打包带走
10,2023/10/26 8:10,烧卖,咸蛋黄烧卖,3,7.5,云闪付,打包带走
6,2023/10/13 7:05,粥,小米粥,3,9,支付宝支付,打包带走
6,2023/10/13 7:05,鲜包,荠菜肉包,2,4,支付宝支付,打包带走
6,2023/10/13 7:05,鲜包,荠菜素包,1,1.5,支付宝支付,打包带走
4,2023/11/24 11:10,烧卖,咸蛋黄烧卖,2,5,支付宝支付,外卖配送
4,2023/11/24 11:10,粗粮&小食,茶叶蛋,3,6,支付宝支付,外卖配送
4,2023/11/24 11:10,鲜包,酸豆角包,1,2,支付宝支付,外卖配送
2,2023/11/20 6:08,粥,黑米粥,1,3,支付宝支付,外卖配送
2,2023/11/20 6:08,烧卖,咸蛋黄烧卖,3,7.5,支付宝支付,外卖配送
2,2023/11/20 6:08,粥,玉米汁,2,6,支付宝支付,外卖配送
7,2023/11/12 8:19,粥,银耳羹,1,3,微信支付,打包带走
5,2023/10/26 6:56,粗粮&小食,红糖馒头,1,1.5,支付宝支付,外卖配送
5,2023/10/26 6:56,粥,银耳羹,1,3,支付宝支付,外卖配送
5,2023/10/26 6:56,饮品,无糖豆浆,1,3,支付宝支付,外卖配送
7,2023/11/18 6:28,饮品,红枣豆浆,2,6,支付宝支付,外卖配送
7,2023/11/18 6:28,烧卖,糯米烧卖,2,3,支付宝支付,外卖配送
5,2023/10/24 8:39,粗粮&小食,粗粮馒头,1,2,云闪付,外卖配送
5,2023/10/24 8:39,鲜包,香辣粉丝包,3,6,云闪付,外卖配送
4,2023/11/5 7:31,饮品,无糖豆浆,2,6,云闪付,外卖配送
11,2023/10/27 8:31,粗粮&小食,粗粮馒头,3,6,云闪付,外卖配送
11,2023/10/31 9:06,饮品,红枣豆浆,1,3,云闪付,打包带走
11,2023/10/31 9:06,饮品,红枣豆浆,2,6,云闪付,打包带走
11,2023/10/31 9:06,饮品,红枣豆浆,1,3,云闪付,打包带走
8,2023/10/4 8:26,烧卖,咸蛋黄烧卖,3,7.5,微信支付,外卖配送
8,2023/10/4 8:26,粗粮&小食,水煮蛋,1,1.5,微信支付,外卖配送
10,2023/11/19 8:06,粗粮&小食,粗粮馒头,2,4,支付宝支付,外卖配送
10,2023/11/19 8:06,鲜包,香菇菜包,2,4,支付宝支付,外卖配送
1,2023/11/5 9:05,粗粮&小食,葱油饼,3,7.5,支付宝支付,外卖配送
1,2023/11/5 9:05,粗粮&小食,葱油饼,3,7.5,支付宝支付,外卖配送
1,2023/11/5 9:05,粥,南瓜粥,3,9,支付宝支付,外卖配送
4,2023/10/23 6:02,粥,黑米粥,2,6,微信支付,外卖配送
4,2023/10/23 6:02,烧卖,糯米烧卖,3,4.5,微信支付,外卖配送
1,2023/11/13 6:30,饮品,红枣豆浆,2,6,微信支付,打包带走
3,2023/11/2 11:59,饮品,豆浆,2,5,云闪付,打包带走
5,2023/11/5 9:43,粗粮&小食,葱油饼,3,7.5,微信支付,打包带走
5,2023/11/5 9:43,饮品,无糖豆浆,1,3,微信支付,打包带走
5,2023/11/5 9:43,烧卖,糯米烧卖,3,4.5,微信支付,打包带走
11,2023/11/17 7:50,饮品,无糖豆浆,3,9,云闪付,打包带走
9,2023/10/1 6:49,饮品,红枣豆浆,1,3,支付宝支付,打包带走
9,2023/10/1 6:49,烧卖,鲜肉烧卖,1,2,支付宝支付,打包带走
15,2023/10/22 7:01,鲜包,荠菜素包,1,1.5,云闪付,打包带走
10,2023/10/23 8:36,鲜包,奶黄包,3,6,微信支付,打包带走
10,2023/10/23 8:36,烧卖,鲜肉烧卖,2,4,微信支付,打包带走
10,2023/10/23 8:36,饮品,豆浆,3,7.5,微信支付,打包带走
5,2023/11/28 9:03,粥,南瓜粥,3,9,支付宝支付,打包带走
1,2023/11/9 7:29,饮品,红枣豆浆,3,9,支付宝支付,打包带走
1,2023/11/9 6:19,粗粮&小食,葱油饼,2,5,支付宝支付,打包带走
4,2023/11/29 7:26,粗粮&小食,红糖馒头,2,3,微信支付,打包带走
4,2023/11/29 7:26,鲜包,香菇菜包,1,2,微信支付,打包带走
4,2023/11/29 7:26,粗粮&小食,葱油饼,1,2.5,微信支付,打包带走
2,2023/10/5 8:08,粗粮&小食,水煮蛋,1,1.5,云闪付,外卖配送
2,2023/10/5 8:08,鲜包,奥尔良鸡肉包,3,6,云闪付,外卖配送
8,2023/10/10 9:50,粗粮&小食,茶叶蛋,3,6,云闪付,打包带走
13,2023/10/4 11:47,鲜包,奥尔良鸡肉包,2,4,云闪付,外卖配送
13,2023/10/4 11:47,粗粮&小食,水煮蛋,1,1.5,云闪付,外卖配送
13,2023/10/4 11:47,烧卖,咸蛋黄烧卖,1,2.5,云闪付,外卖配送
5,2023/10/18 10:50,粥,南瓜粥,3,9,微信支付,外卖配送
5,2023/10/18 10:50,烧卖,糯米烧卖,1,1.5,微信支付,外卖配送
5,2023/10/18 10:50,饮品,豆浆,1,2.5,微信支付,外卖配送
14,2023/11/13 7:49,粗粮&小食,茶叶蛋,2,4,微信支付,打包带走
14,2023/11/13 7:49,粗粮&小食,葱油饼,2,5,微信支付,打包带走
14,2023/10/23 6:27,粗粮&小食,粗粮馒头,2,4,支付宝支付,外卖配送
14,2023/10/23 6:27,粥,小米粥,2,6,支付宝支付,外卖配送
14,2023/10/23 6:27,粗粮&小食,茶叶蛋,2,4,支付宝支付,外卖配送
10,2023/11/16 9:08,粥,黑米粥,2,6,支付宝支付,外卖配送
10,2023/11/16 9:08,鲜包,酸豆角包,2,4,支付宝支付,外卖配送
10,2023/11/16 9:08,烧卖,鲜肉烧卖,2,4,支付宝支付,外卖配送
3,2023/11/16 11:48,饮品,豆浆,2,5,支付宝支付,打包带走
3,2023/11/16 11:48,粥,小米粥,2,6,支付宝支付,打包带走
3,2023/11/16 11:48,饮品,豆浆,2,5,支付宝支付,打包带走
11,2023/10/2 11:26,饮品,无糖豆浆,2,6,微信支付,打包带走
11,2023/10/2 11:26,鲜包,香辣粉丝包,3,6,微信支付,打包带走
13,2023/11/2 7:22,粗粮&小食,葱油饼,1,2.5,云闪付,外卖配送
13,2023/11/2 7:22,粥,黑米粥,3,9,云闪付,外卖配送
13,2023/11/2 7:22,鲜包,梅干菜肉包,3,6,云闪付,外卖配送
10,2023/10/4 8:37,烧卖,咸蛋黄烧卖,3,7.5,云闪付,外卖配送
10,2023/10/4 8:37,烧卖,咸蛋黄烧卖,3,7.5,云闪付,外卖配送
10,2023/10/4 8:37,鲜包,奶黄包,1,2,云闪付,外卖配送
10,2023/10/14 10:24,粥,银耳羹,2,6,云闪付,打包带走
10,2023/11/20 6:58,烧卖,咸蛋黄烧卖,2,5,支付宝支付,外卖配送
9,2023/10/5 11:38,粥,南瓜粥,1,3,支付宝支付,外卖配送
15,2023/11/25 6:07,鲜包,奥尔良鸡肉包,3,6,支付宝支付,外卖配送
15,2023/11/25 6:07,饮品,红枣豆浆,3,9,支付宝支付,外卖配送
15,2023/11/25 6:07,饮品,无糖豆浆,2,6,支付宝支付,外卖配送
13,2023/11/21 11:24,粥,南瓜粥,2,6,支付宝支付,外卖配送
2,2023/10/7 8:55,烧卖,鲜肉烧卖,3,6,支付宝支付,打包带走
2,2023/10/7 8:55,粗粮&小食,红糖馒头,2,3,支付宝支付,打包带走
2,2023/11/18 9:39,鲜包,奶黄包,1,2,云闪付,打包带走
6,2023/11/13 6:25,烧卖,糯米烧卖,2,3,云闪付,外卖配送
8,2023/10/31 6:38,粥,银耳羹,2,6,微信支付,打包带走
4,2023/10/20 6:12,饮品,无糖豆浆,1,3,支付宝支付,外卖配送
4,2023/10/20 6:12,烧卖,糯米烧卖,3,4.5,支付宝支付,外卖配送
11,2023/10/28 9:57,粥,玉米汁,1,3,微信支付,打包带走
14,2023/11/8 9:07,粥,玉米汁,3,9,云闪付,打包带走
14,2023/11/8 9:07,粥,小米粥,1,3,云闪付,打包带走
14,2023/11/8 9:07,粗粮&小食,葱油饼,1,2.5,云闪付,打包带走
10,2023/11/15 11:28,鲜包,荠菜肉包,2,4,微信支付,打包带走
13,2023/10/13 8:51,粗粮&小食,红糖馒头,3,4.5,云闪付,打包带走
8,2023/11/1 8:51,粥,黑米粥,3,9,云闪付,外卖配送
8,2023/11/1 8:51,烧卖,糯米烧卖,2,3,云闪付,外卖配送
14,2023/10/27 11:24,饮品,无糖豆浆,2,6,支付宝支付,外卖配送
5,2023/11/20 9:44,粗粮&小食,茶叶蛋,1,2,云闪付,外卖配送
4,2023/10/2 6:52,饮品,无糖豆浆,1,3,支付宝支付,打包带走
4,2023/10/2 6:52,烧卖,鲜肉烧卖,3,6,支付宝支付,打包带走
4,2023/10/2 6:52,粗粮&小食,红糖馒头,1,1.5,支付宝支付,打包带走
4,2023/10/8 10:42,烧卖,咸蛋黄烧卖,1,2.5,微信支付,外卖配送
4,2023/10/8 10:42,粗粮&小食,葱油饼,1,2.5,微信支付,外卖配送
4,2023/10/8 10:42,粥,玉米汁,2,6,微信支付,外卖配送
3,2023/10/3 11:04,鲜包,香菇菜包,1,2,微信支付,打包带走
3,2023/10/3 11:04,烧卖,鲜肉烧卖,2,4,微信支付,打包带走
15,2023/10/31 9:51,粥,小米粥,3,9,云闪付,外卖配送
15,2023/10/31 9:51,粥,玉米汁,3,9,云闪付,外卖配送
6,2023/11/16 8:05,鲜包,荠菜素包,3,4.5,云闪付,外卖配送
6,2023/11/16 8:05,烧卖,鲜肉烧卖,1,2,云闪付,外卖配送
8,2023/10/24 7:38,烧卖,糯米烧卖,3,4.5,微信支付,打包带走
8,2023/10/24 7:38,饮品,红枣豆浆,1,3,微信支付,打包带走
8,2023/10/24 7:38,饮品,红枣豆浆,2,6,微信支付,打包带走
9,2023/10/21 6:51,饮品,无糖豆浆,3,9,云闪付,打包带走
9,2023/10/21 6:51,烧卖,糯米烧卖,1,1.5,云闪付,打包带走
2,2023/10/29 6:43,烧卖,糯米烧卖,3,4.5,支付宝支付,打包带走
2,2023/10/29 6:43,鲜包,奶黄包,1,2,支付宝支付,打包带走
2,2023/10/29 6:43,饮品,红枣豆浆,3,9,支付宝支付,打包带走
14,2023/11/10 8:29,粥,银耳羹,2,6,云闪付,外卖配送
14,2023/11/10 8:29,鲜包,梅干菜肉包,2,4,云闪付,外卖配送
6,2023/10/26 6:17,饮品,无糖豆浆,3,9,微信支付,打包带走
6,2023/10/26 6:17,烧卖,糯米烧卖,2,3,微信支付,打包带走
6,2023/10/26 6:17,粗粮&小食,红糖馒头,2,3,微信支付,打包带走
7,2023/10/23 8:17,粥,玉米汁,3,9,微信支付,打包带走
7,2023/10/23 8:17,粥,小米粥,1,3,微信支付,打包带走
7,2023/10/23 8:17,饮品,豆浆,2,5,微信支付,打包带走
8,2023/11/11 6:01,饮品,无糖豆浆,2,6,支付宝支付,外卖配送
13,2023/11/9 7:39,粥,南瓜粥,2,6,云闪付,外卖配送
13,2023/11/9 7:39,饮品,豆浆,1,2.5,云闪付,外卖配送
13,2023/11/9 7:39,饮品,无糖豆浆,1,3,云闪付,外卖配送
15,2023/11/26 9:57,鲜包,鲜汁肉包,2,5,微信支付,外卖配送
5,2023/11/11 7:17,鲜包,鲜汁肉包,1,2.5,微信支付,外卖配送
5,2023/11/25 8:03,饮品,无糖豆浆,1,3,支付宝支付,打包带走
5,2023/11/25 8:03,粥,银耳羹,2,6,支付宝支付,打包带走
5,2023/11/25 8:03,粥,小米粥,1,3,支付宝支付,打包带走
10,2023/11/17 6:18,鲜包,奥尔良鸡肉包,1,2,支付宝支付,打包带走
10,2023/11/17 6:18,粗粮&小食,茶叶蛋,3,6,支付宝支付,打包带走
10,2023/11/17 6:18,鲜包,奥尔良鸡肉包,3,6,支付宝支付,打包带走
13,2023/11/21 10:47,粗粮&小食,红糖馒头,1,1.5,云闪付,打包带走
10,2023/10/11 9:19,粗粮&小食,红糖馒头,3,4.5,支付宝支付,打包带走
5,2023/10/24 8:58,鲜包,香菇菜包,2,4,云闪付,外卖配送
4,2023/10/14 9:52,粥,玉米汁,2,6,支付宝支付,外卖配送
6,2023/11/7 8:11,饮品,豆浆,1,2.5,微信支付,外卖配送
6,2023/11/7 8:11,鲜包,荠菜素包,3,4.5,微信支付,外卖配送
6,2023/11/7 8:11,粥,黑米粥,2,6,微信支付,外卖配送
3,2023/10/10 9:02,饮品,红枣豆浆,2,6,支付宝支付,外卖配送
3,2023/10/10 9:02,粥,黑米粥,2,6,支付宝支付,外卖配送
3,2023/10/10 9:02,饮品,无糖豆浆,2,6,支付宝支付,外卖配送
12,2023/11/5 9:55,饮品,豆浆,2,5,微信支付,打包带走
12,2023/11/5 9:55,粗粮&小食,红糖馒头,3,4.5,微信支付,打包带走
8,2023/10/31 10:00,饮品,红枣豆浆,1,3,云闪付,打包带走
8,2023/10/31 10:00,鲜包,荠菜素包,3,4.5,云闪付,打包带走
7,2023/11/22 10:23,粥,小米粥,2,6,支付宝支付,打包带走
4,2023/10/29 10:51,烧卖,鲜肉烧卖,1,2,云闪付,打包带走
4,2023/10/29 10:51,粗粮&小食,红糖馒头,3,4.5,云闪付,打包带走
5,2023/11/5 9:34,烧卖,糯米烧卖,2,3,云闪付,打包带走
8,2023/10/12 10:09,鲜包,奶黄包,1,2,云闪付,打包带走
8,2023/10/12 10:09,烧卖,鲜肉烧卖,1,2,云闪付,打包带走
8,2023/10/12 10:09,粗粮&小食,红糖馒头,3,4.5,云闪付,打包带走
12,2023/10/5 7:58,鲜包,香辣粉丝包,3,6,支付宝支付,打包带走
12,2023/10/5 7:58,鲜包,梅干菜肉包,2,4,支付宝支付,打包带走
12,2023/10/5 7:58,饮品,红枣豆浆,2,6,支付宝支付,打包带走
6,2023/10/19 9:23,粥,小米粥,1,3,微信支付,外卖配送
8,2023/10/27 11:53,粗粮&小食,茶叶蛋,1,2,云闪付,打包带走
8,2023/10/27 11:53,粥,南瓜粥,3,9,云闪付,打包带走
12,2023/10/5 9:19,鲜包,奥尔良鸡肉包,1,2,云闪付,打包带走
12,2023/10/5 9:19,粥,玉米汁,3,9,云闪付,打包带走
12,2023/10/5 9:19,饮品,红枣豆浆,2,6,云闪付,打包带走
13,2023/10/21 11:37,鲜包,香菇菜包,3,6,支付宝支付,打包带走
7,2023/10/31 10:17,饮品,无糖豆浆,2,6,微信支付,外卖配送
8,2023/11/25 8:25,粗粮&小食,水煮蛋,1,1.5,支付宝支付,打包带走
12,2023/11/15 10:46,粥,黑米粥,3,9,云闪付,打包带走
12,2023/11/15 10:46,饮品,豆浆,1,2.5,云闪付,打包带走
12,2023/11/15 10:46,粗粮&小食,粗粮馒头,1,2,云闪付,打包带走
4,2023/10/27 11:00,烧卖,咸蛋黄烧卖,1,2.5,云闪付,外卖配送
15,2023/11/14 6:50,饮品,无糖豆浆,1,3,微信支付,打包带走
15,2023/11/14 6:50,粗粮&小食,茶叶蛋,2,4,微信支付,打包带走
15,2023/11/14 6:50,粗粮&小食,水煮蛋,3,4.5,微信支付,打包带走
5,2023/11/7 9:24,鲜包,奥尔良鸡肉包,1,2,云闪付,打包带走
5,2023/11/7 9:24,烧卖,鲜肉烧卖,1,2,云闪付,打包带走
5,2023/11/7 9:24,粥,黑米粥,2,6,云闪付,打包带走
3,2023/10/24 9:52,鲜包,奶黄包,1,2,云闪付,打包带走
3,2023/10/24 9:52,饮品,红枣豆浆,2,6,云闪付,打包带走
3,2023/10/24 9:52,粗粮&小食,茶叶蛋,1,2,云闪付,打包带走
3,2023/11/9 10:50,粥,玉米汁,3,9,支付宝支付,打包带走
3,2023/11/9 10:50,烧卖,鲜肉烧卖,2,4,支付宝支付,打包带走
14,2023/10/16 7:10,烧卖,咸蛋黄烧卖,1,2.5,支付宝支付,外卖配送
14,2023/10/16 7:10,粥,银耳羹,1,3,支付宝支付,外卖配送
1,2023/10/14 6:01,烧卖,咸蛋黄烧卖,2,5,云闪付,外卖配送
1,2023/10/14 6:01,粥,玉米汁,3,9,云闪付,外卖配送
8,2023/10/30 8:00,饮品,豆浆,1,2.5,支付宝支付,打包带走
8,2023/10/30 8:00,烧卖,咸蛋黄烧卖,3,7.5,支付宝支付,打包带走
13,2023/10/25 11:41,饮品,无糖豆浆,2,6,微信支付,打包带走
13,2023/10/25 11:41,粗粮&小食,水煮蛋,3,4.5,微信支付,打包带走
13,2023/10/25 11:41,饮品,豆浆,3,7.5,微信支付,打包带走
15,2023/10/15 11:20,饮品,豆浆,3,7.5,支付宝支付,打包带走
15,2023/10/15 11:20,粥,南瓜粥,2,6,支付宝支付,打包带走
3,2023/11/24 10:16,粗粮&小食,水煮蛋,1,1.5,微信支付,打包带走
3,2023/11/24 10:16,饮品,豆浆,3,7.5,微信支付,打包带走
3,2023/11/24 10:16,鲜包,豆沙包,3,6,微信支付,打包带走
5,2023/11/17 8:37,粥,银耳羹,1,3,微信支付,外卖配送
5,2023/11/17 8:37,粥,黑米粥,3,9,微信支付,外卖配送
6,2023/10/23 6:52,粗粮&小食,茶叶蛋,2,4,支付宝支付,外卖配送
9,2023/11/16 7:11,粥,玉米汁,1,3,支付宝支付,外卖配送
6,2023/11/18 8:42,粗粮&小食,红糖馒头,2,3,云闪付,打包带走
6,2023/11/18 8:42,饮品,红枣豆浆,3,9,云闪付,打包带走
6,2023/11/18 8:42,粗粮&小食,粗粮馒头,2,4,云闪付,打包带走
14,2023/10/23 8:07,鲜包,豆沙包,3,6,云闪付,打包带走
14,2023/10/23 8:07,鲜包,奶黄包,3,6,云闪付,打包带走
1,2023/11/10 10:12,鲜包,香辣粉丝包,1,2,云闪付,打包带走
6,2023/10/10 9:03,烧卖,咸蛋黄烧卖,3,7.5,微信支付,打包带走
6,2023/10/10 9:03,鲜包,豆沙包,1,2,微信支付,打包带走
6,2023/10/10 9:03,烧卖,咸蛋黄烧卖,3,7.5,微信支付,打包带走
12,2023/10/24 11:26,烧卖,咸蛋黄烧卖,1,2.5,微信支付,外卖配送
12,2023/10/24 11:26,烧卖,糯米烧卖,2,3,微信支付,外卖配送
12,2023/10/21 11:23,饮品,豆浆,3,7.5,云闪付,打包带走
12,2023/10/21 11:23,粥,玉米汁,2,6,云闪付,打包带走
12,2023/10/21 11:23,粥,黑米粥,1,3,云闪付,打包带走
13,2023/11/8 6:18,粗粮&小食,葱油饼,1,2.5,微信支付,打包带走
13,2023/11/8 6:18,粥,玉米汁,3,9,微信支付,打包带走
13,2023/11/8 6:18,烧卖,鲜肉烧卖,3,6,微信支付,打包带走
3,2023/10/11 11:24,粗粮&小食,红糖馒头,3,4.5,云闪付,外卖配送
3,2023/10/11 11:24,粗粮&小食,红糖馒头,2,3,云闪付,外卖配送
7,2023/10/29 6:31,饮品,豆浆,1,2.5,微信支付,打包带走
7,2023/10/29 6:31,粗粮&小食,茶叶蛋,2,4,微信支付,打包带走
7,2023/10/29 6:31,粥,黑米粥,2,6,微信支付,打包带走
1,2023/10/20 6:02,饮品,红枣豆浆,2,6,云闪付,打包带走
1,2023/10/20 6:02,饮品,红枣豆浆,1,3,云闪付,打包带走
1,2023/10/20 6:02,粗粮&小食,水煮蛋,3,4.5,云闪付,打包带走
11,2023/10/6 10:23,烧卖,糯米烧卖,3,4.5,微信支付,外卖配送
11,2023/10/6 10:23,烧卖,鲜肉烧卖,1,2,微信支付,外卖配送
11,2023/10/6 10:23,鲜包,奶黄包,3,6,微信支付,外卖配送
14,2023/10/22 8:23,粗粮&小食,水煮蛋,2,3,微信支付,外卖配送
14,2023/10/22 8:23,粗粮&小食,水煮蛋,1,1.5,微信支付,外卖配送
7,2023/11/29 9:16,鲜包,鲜汁肉包,1,2.5,云闪付,外卖配送
7,2023/11/29 9:16,烧卖,咸蛋黄烧卖,1,2.5,云闪付,外卖配送
7,2023/11/29 9:16,粗粮&小食,水煮蛋,3,4.5,云闪付,外卖配送
12,2023/10/27 11:51,烧卖,糯米烧卖,2,3,支付宝支付,打包带走
12,2023/10/27 11:51,粥,玉米汁,1,3,支付宝支付,打包带走
1,2023/11/23 10:17,饮品,无糖豆浆,2,6,支付宝支付,打包带走
3,2023/11/25 11:44,粗粮&小食,葱油饼,2,5,微信支付,打包带走
3,2023/11/25 11:44,粗粮&小食,水煮蛋,1,1.5,微信支付,打包带走
3,2023/11/25 11:44,鲜包,梅干菜肉包,1,2,微信支付,打包带走
2,2023/11/28 6:41,烧卖,鲜肉烧卖,2,4,微信支付,外卖配送
2,2023/11/28 6:41,饮品,红枣豆浆,1,3,微信支付,外卖配送
2,2023/11/28 6:41,粥,小米粥,3,9,微信支付,外卖配送
2,2023/11/27 7:57,饮品,豆浆,3,7.5,云闪付,打包带走
2,2023/11/27 7:57,粥,黑米粥,1,3,云闪付,打包带走
10,2023/10/19 8:33,鲜包,梅干菜肉包,1,2,云闪付,打包带走
5,2023/10/14 7:03,粗粮&小食,茶叶蛋,1,2,支付宝支付,外卖配送
11,2023/10/16 6:36,饮品,红枣豆浆,2,6,微信支付,外卖配送
11,2023/10/16 6:36,鲜包,香辣粉丝包,3,6,微信支付,外卖配送
11,2023/10/16 6:36,粗粮&小食,红糖馒头,1,1.5,微信支付,外卖配送
15,2023/11/23 6:04,粥,银耳羹,2,6,支付宝支付,外卖配送
9,2023/11/9 10:39,粥,玉米汁,1,3,支付宝支付,外卖配送
9,2023/11/9 10:39,烧卖,鲜肉烧卖,3,6,支付宝支付,外卖配送
9,2023/11/9 10:39,鲜包,奥尔良鸡肉包,3,6,支付宝支付,外卖配送
12,2023/10/27 7:33,粗粮&小食,红糖馒头,2,3,支付宝支付,打包带走
12,2023/10/27 7:33,粥,南瓜粥,1,3,支付宝支付,打包带走
6,2023/11/7 11:41,鲜包,豆沙包,1,2,云闪付,打包带走
6,2023/11/7 11:41,粥,南瓜粥,2,6,云闪付,打包带走
11,2023/10/5 8:23,粗粮&小食,葱油饼,3,7.5,微信支付,打包带走
11,2023/10/5 8:23,鲜包,香菇菜包,2,4,微信支付,打包带走
11,2023/10/5 8:23,粗粮&小食,葱油饼,3,7.5,微信支付,打包带走
8,2023/10/9 6:34,饮品,无糖豆浆,1,3,微信支付,外卖配送
8,2023/10/9 6:34,饮品,豆浆,1,2.5,微信支付,外卖配送
15,2023/11/8 11:25,粗粮&小食,葱油饼,3,7.5,云闪付,打包带走
15,2023/11/8 11:25,烧卖,糯米烧卖,3,4.5,云闪付,打包带走
1,2023/10/17 7:46,饮品,豆浆,3,7.5,微信支付,外卖配送
1,2023/10/17 7:46,饮品,豆浆,2,5,微信支付,外卖配送
1,2023/10/17 7:46,粗粮&小食,红糖馒头,3,4.5,微信支付,外卖配送
4,2023/10/14 10:57,鲜包,香辣粉丝包,3,6,支付宝支付,外卖配送
5,2023/10/7 8:30,烧卖,鲜肉烧卖,2,4,微信支付,外卖配送
5,2023/10/7 8:30,烧卖,鲜肉烧卖,2,4,微信支付,外卖配送
5,2023/10/7 8:30,鲜包,奶黄包,3,6,微信支付,外卖配送
5,2023/10/27 7:02,烧卖,糯米烧卖,3,4.5,微信支付,打包带走
5,2023/10/27 7:02,饮品,无糖豆浆,1,3,微信支付,打包带走
5,2023/10/27 7:02,粥,银耳羹,3,9,微信支付,打包带走
1,2023/11/27 7:31,粥,南瓜粥,3,9,支付宝支付,打包带走
1,2023/11/27 7:31,粗粮&小食,水煮蛋,1,1.5,支付宝支付,打包带走
8,2023/10/13 7:05,鲜包,荠菜素包,3,4.5,云闪付,打包带走
8,2023/10/13 7:05,鲜包,梅干菜肉包,2,4,云闪付,打包带走
9,2023/10/17 7:06,粗粮&小食,茶叶蛋,1,2,云闪付,打包带走
2,2023/11/27 6:46,粥,南瓜粥,2,6,云闪付,外卖配送
3,2023/11/10 9:18,饮品,无糖豆浆,3,9,微信支付,外卖配送
3,2023/11/10 9:18,饮品,豆浆,2,5,微信支付,外卖配送
3,2023/11/10 9:18,粥,黑米粥,2,6,微信支付,外卖配送
4,2023/10/21 7:57,粥,玉米汁,2,6,云闪付,外卖配送
4,2023/10/21 7:57,鲜包,奶黄包,1,2,云闪付,外卖配送
6,2023/10/16 8:34,烧卖,糯米烧卖,1,1.5,支付宝支付,打包带走
6,2023/10/16 8:34,粥,小米粥,1,3,支付宝支付,打包带走
6,2023/10/16 8:34,粗粮&小食,水煮蛋,1,1.5,支付宝支付,打包带走
5,2023/11/11 7:04,饮品,红枣豆浆,3,9,支付宝支付,打包带走
5,2023/11/11 7:04,饮品,豆浆,2,5,支付宝支付,打包带走
5,2023/11/11 7:04,鲜包,奶黄包,1,2,支付宝支付,打包带走
11,2023/10/15 10:30,粥,银耳羹,2,6,支付宝支付,打包带走
11,2023/10/15 10:30,饮品,红枣豆浆,1,3,支付宝支付,打包带走
