标题,时间戳
国家卫生健康委办公厅关于进一步加强用人单位职业健康培训工作的通知,2022-12-30
惠民生、谋创新、促开放——解读2023年我国关税调整方案,2022-12-30
商务部等10部门关于支持国家级经济技术开发区创新提升更好发挥示范作用若干措施的通知,2022-12-29
国家发展改革委 科技部印发《关于进一步完善市场导向的绿色技术创新体系实施方案（2023—2025年）》的通知,2022-12-28
工业和信息化部办公厅 发展改革委办公厅 科技部办公厅关于公布2022年国家安全应急产业示范基地（含创建单位）名单的通知,2022-12-28
国家知识产权局办公室关于印发《绿色低碳技术专利分类体系》的通知,2022-12-28
中央投资支持职业教育规模进一步提升,2022-12-28
破解突出问题 优化类型定位——解读《关于深化现代职业教育体系建设改革的意见》,2022-12-27
财政部关于下达2022年普惠金融发展专项资金预算的通知,2022-12-27
《关于对新型冠状病毒感染实施“乙类乙管”的总体方案》解读问答,2022-12-27
国家档案局负责人就《中共中央办公厅国务院办公厅关于加强重特大事件档案工作的通知》实施答记者问,2022-12-27
《光伏电站开发建设管理办法》政策解读,2022-12-27
生态环境部科财司、国家发展改革委环资司主要负责同志就《关于同意实施第一批清洁生产审核创新试点项目的通知》答记者问,2022-12-26
人力资源社会保障部办公厅关于进一步做好职称评审工作的通知,2022-12-24
国家知识产权局办公室关于印发《知识产权保护规范化市场创建示范管理办法》的通知,2022-12-24
《文化和旅游部 自然资源部 住房和城乡建设部关于开展国家文化产业和旅游产业融合发展示范区建设工作的通知》政策解读,2022-12-24
文化和旅游部 自然资源部 住房和城乡建设部关于开展国家文化产业和旅游产业融合发展示范区建设工作的通知,2022-12-24
文化和旅游部办公厅关于公布全国红色旅游融合发展试点单位名单的通知,2022-12-23
夯实财政管理基础 交出国家财政“明白账”——财政部详解2023年起实施的《财政总会计制度》,2022-12-23
人力资源社会保障部等11部门关于开展2023年春风行动暨就业援助月的通知,2022-12-22
国家知识产权局办公室关于印发《知识产权行政保护案件请示办理工作办法》的通知,2022-12-22
国务院要求狠抓政策落实 推动经济巩固回稳基础,2022-12-22
国家发展改革委等部门关于推动家政进社区的指导意见,2022-12-21
人力资源社会保障部关于开展2023年全国公共就业服务专项活动的通知,2022-12-21
教育部办公厅关于公布国家级职业教育“双师型”教师培训基地（2023—2025年）的通知,2022-12-21
“数据二十条”对外发布，构建数据基础制度体系——做强做优做大数字经济,2022-12-21
人力资源社会保障部关于实施人力资源服务业创新发展行动计划（2023-2025年）的通知,2022-12-20
人力资源社会保障部等12部门关于开展2023年春节期间“春暖农民工”服务行动的通知,2022-12-20
构建数据基础制度 更好发挥数据要素作用——国家发展改革委负责同志答记者问,2022-12-20
交通运输部关于加快推进道路客运复工复产保障人民群众平安健康顺畅舒心出行有关事项的通知,2022-12-18
推动经济运行整体好转——韩文秀解读2022年中央经济工作会议精神,2022-12-18
国务院办公厅关于印发“十四五”现代物流发展规划的通知,2022-12-15
工业和信息化部 国家互联网信息办公室关于进一步规范移动智能终端应用软件预置行为的通告,2022-12-15
《关于进一步规范移动智能终端应用软件预置行为的通告》解读,2022-12-15
《支持贵州文化和旅游高质量发展的实施方案》政策解读,2022-12-14
全面落实乡村振兴责任——中央农办负责人就《乡村振兴责任制实施办法》答记者问,2022-12-14
《关于深入推进黄河流域工业绿色发展的指导意见》解读,2022-12-13
四部委关于深入推进黄河流域工业绿色发展的指导意见,2022-12-13
文化和旅游部 国家文物局关于印发《支持贵州文化和旅游高质量发展的实施方案》的通知,2022-12-09
关于印发《中央高校建设世界一流大学（学科）和特色发展引导专项资金管理办法》的通知,2022-12-09
文化和旅游部关于公布第四批全国乡村旅游重点村和第二批全国乡村旅游重点镇（乡）名单的通知,2022-12-08
教育部办公厅等四部门关于加快新农科建设推进高等农林教育创新发展的意见,2022-12-08
人社部调解仲裁管理司、团中央青年志愿者行动指导中心负责人就《关于建立青年仲裁员志愿者联系企业活动常态化长效化工作机制的通知》答记者问,2022-12-07
人力资源社会保障部办公厅 共青团中央办公厅关于建立青年仲裁员志愿者联系企业活动常态化长效化工作机制的通知,2022-12-07
《关于进一步优化落实新冠肺炎疫情防控措施的通知》解读问答,2022-12-07
关于执行《鼓励外商投资产业目录（2022年版）》有关事项的公告,2022-12-07
自然资源部办公厅 科学技术部办公厅关于印发《自然资源科学技术普及“十四五”工作方案》的通知,2022-12-07
《“十四五”中医药信息化发展规划》政策解读,2022-12-06
科技部 住房城乡建设部关于印发《“十四五”城镇化与城市发展科技创新专项规划》的通知,2022-12-06
关于修改《网络预约出租汽车经营服务管理暂行办法》的决定,2022-12-05
关于进一步做好政府采购脱贫地区农副产品有关工作的通知,2022-12-05
农业农村部关于加强水生生物资源养护的指导意见,2022-12-05
国家知识产权局关于商标代理机构重新备案的公告,2022-12-03
中国银保监会 国家互联网信息办公室 工业和信息化部 市场监管总局关于规范“银行”字样使用有关事项的通知,2022-12-03
人力资源社会保障部办公厅 国家发展改革委办公厅 国家乡村振兴局综合司关于进一步推进东西部人社协作的通知,2022-12-02
国家知识产权局办公室关于确定数据知识产权工作试点地方的通知,2022-12-02
国家知识产权局办公室关于完善知识产权运营平台体系有关事项的通知,2022-12-02
国务院关于开展第五次全国经济普查的通知,2022-12-01
《民政部 公安部 市场监管总局 中国银保监会关于加强养老机构非法集资防范化解工作的意见》解读,2022-11-30
"气象局解读《综合气象观测业务发展""十四五""规划》",2022-11-30
三部门联合印发《关于巩固回升向好趋势加力振作工业经济的通知》,2022-11-30
教育部有关负责人就《关于加强高等学校服务国家通用语言文字高质量推广普及的若干意见》答记者问,2022-11-29
教育部 国家语委关于加强高等学校服务国家通用语言文字高质量推广普及的若干意见,2022-11-29
33地获批新设跨境电商综合试验区,2022-11-28
到2035年——我国将建成现代化长江干线港口体系,2022-11-28
“十四五”末国家高新区数量将达到220家左右,2022-11-27
在三十六地先行落地——个人养老金制度启动实施,2022-11-27
专利产品备案常见问题解答,2022-11-26
跨境电商综合试验区再扩围,2022-11-26
两部门发文提出16条知识产权支持举措 激发专精特新企业创新活力,2022-11-26
产业发展规划（2022—2025年）发布 户外运动迎来发展新机遇,2022-11-26
中国人民银行有关负责人就下调金融机构存款准备金率答记者问,2022-11-25
规范透明促PPP高质量发展——16万亿元大市场迎来新规,2022-11-25
新闻分析：抓好落地见效 巩固经济回稳向上基础,2022-11-25
水利部办公厅 财政部办公厅关于公布2023—2024年水系连通及水美乡村建设县名单的通知,2022-11-24
国务院关于同意在廊坊等33个城市和地区设立跨境电子商务综合试验区的批复,2022-11-24
国家知识产权局办公室关于组织开展专利产品备案工作的通知,2022-11-24
国家知识产权局办公室关于面向重点产业组织开展国家级专利导航服务基地建设工作的通知,2022-11-24
关于组织开展2022年智慧健康养老产品及服务推广目录申报工作的通知,2022-11-23
挖掘增量政策空间，加力支持薄弱环节——夯实工业经济回升向好基础,2022-11-23
为工业经济稳定恢复“添薪蓄力”,2022-11-23
国务院关于同意嘉兴秀洲高新技术产业开发区更名为嘉兴高新技术产业开发区的批复,2022-11-22
国家发改委等部门印发通知，提升重点用能产品设备能效——制造业节能降碳迎“新招”,2022-11-22
巩固回升向好趋势 十七项举措加力振作工业经济,2022-11-22
关于发布第三批适用增值税政策的抗癌药品和罕见病药品清单的公告,2022-11-22
"巩固工业经济回升向好趋势,政策""组合拳""怎样加力?",2022-11-22
文化和旅游部 中央文明办 发展改革委 工业和信息化部 公安部 自然资源部 生态环境部 住房和城乡建设部 农业农村部 应急管理部 市场监管总局 体育总局 林草局 乡村振兴局关于印发《关于推动露营旅游休闲健康有序发展的指导意见》的通知,2022-11-21
中国人民银行 发展改革委 科技部 工业和信息化部 财政部 银保监会 证监会 外汇局关于印发《上海市、南京市、杭州市、合肥市、嘉兴市建设科创金融改革试验区总体方案》的通知,2022-11-21
工业和信息化部办公厅关于印发石化行业智能制造标准体系建设指南（2022版）的通知,2022-11-21
两部门关于做好锂离子电池产业链供应链协同稳定发展工作的通知,2022-11-20
教育部等五部门关于印发《职业学校办学条件达标工程实施方案》的通知,2022-11-19
人民银行 银保监会有关负责人就修订发布《商业汇票承兑、贴现与再贴现管理办法》答记者问,2022-11-19
人力资源社会保障部 国家发展改革委 财政部 农业农村部 国家乡村振兴局关于进一步支持农民工就业创业的实施意见,2022-11-18
关于进一步推动政府和社会资本合作（PPP）规范发展、阳光运行的通知,2022-11-18
留抵退税为企业“输血”“活血” 税惠“红包”促进汽车市场回暖,2022-11-18
国家发展改革委等部门关于发布《重点用能产品设备能效先进水平、节能水平和准入水平（2022年版）》的通知,2022-11-18
税费支持政策为企业减负纾困,2022-11-17
超3.7万亿元！税费“红包”助市场主体爬坡过坎,2022-11-17
国务院政策例行吹风会：各项税费支持政策积极作用不断显现,2022-11-17
以加强和规范行政检查为抓手 不断提高民政部门依法行政水平,2022-11-16
推动关口前移 降低维权成本——聚焦《关于进一步加强劳动人事争议协商调解工作的意见》,2022-11-16
税务总局介绍系列税费支持政策落实进展：为广大市场主体办实事、减负担、增便利,2022-11-16
今年全国已新增减税降费及退税缓税缓费超3.7万亿元,2022-11-16
人力资源社会保障部 中央政法委 最高人民法院 工业和信息化部 司法部 财政部 中华全国总工会 中华全国工商业联合会 中国企业联合会/中国企业家协会关于进一步加强劳动人事争议协商调解工作的意见,2022-11-16
用好再贷款提振制造业,2022-11-15
关于商业银行出具保函置换预售监管资金有关工作的通知,2022-11-14
关于进一步加大对小微企业贷款延期还本付息支持力度的通知,2022-11-14
人民时评：促进个体工商户持续健康发展,2022-11-14
五部门关于开展第三批智能光伏试点示范活动的通知,2022-11-14
关于印发进一步提高产品、工程和服务质量行动方案（2022—2025年）的通知,2022-11-14
工业和信息化部办公厅关于发布中小企业数字化水平评测指标（2022年版）的通知,2022-11-12
中国证监会 国务院国资委关于支持中央企业发行科技创新公司债券的通知,2022-11-12
持续推动退耕还林还草高质量发展——访国家林业和草原局生态中心负责人,2022-11-11
全国农村学生营养办有关负责人就《农村义务教育学生营养改善计划实施办法》答记者问,2022-11-11
"做好数字化""加减法""，政策助力中小企业智能化转型",2022-11-11
国家药监局综合司关于开展化妆品个性化服务试点工作的通知,2022-11-11
自然资源部 国家林草局 国家发展改革委 财政部 农业农村部关于进一步完善政策措施 巩固退耕还林还草成果的通知,2022-11-11
科技部 应急部关于印发《“十四五”公共安全与防灾减灾科技创新专项规划》的通知,2022-11-11
工业和信息化部关于公布2022年国家技术创新示范企业名单的通知,2022-11-11
《道路机动车辆生产企业及产品》（第363批）、《新能源汽车推广应用推荐车型目录》（2022年第10批）、《享受车船税减免优惠的节约能源 使用新能源汽车车型目录》（第四十四批）、《免征车辆购置税的新能源汽车车型目录》（第六十批）,2022-11-10
八部门印发《关于开展科技人才评价改革试点的工作方案》：“破四唯”后“立新标”,2022-11-10
科技部关于印发《“十四五”国家高新技术产业开发区发展规划》的通知,2022-11-10
科技部等八部门印发《关于开展科技人才评价改革试点的工作方案》的通知,2022-11-10
《关于开展科技人才评价改革试点的工作方案》政策解读,2022-11-10
激发科技人才创新活力——解读《关于开展科技人才评价改革试点的工作方案》,2022-11-10
《中小企业数字化转型指南》政策解读,2022-11-09
工业和信息化部办公厅关于印发中小企业数字化转型指南的通知,2022-11-09
住房和城乡建设部关于公布智能建造试点城市的通知,2022-11-09
关于提前下达2023年公共体育场馆向社会免费或低收费开放补助资金预算的通知,2022-11-09
民政部 中央农村工作领导小组办公室 财政部 国家乡村振兴局关于进一步做好最低生活保障等社会救助兜底保障工作的通知,2022-11-09
《关于进一步做好最低生活保障等社会救助兜底保障工作的通知》解读,2022-11-09
《建材行业碳达峰实施方案》解读,2022-11-08
关于提前下达2023年城乡居民基本养老保险补助经费预算的通知,2022-11-08
《“十四五”中医药人才发展规划》政策解读,2022-11-08
户外运动产业迎来发展新机遇——专家解读《户外运动产业发展规划（2022-2025年）》,2022-11-08
关于印发《户外运动产业发展规划(2022-2025年)》的通知,2022-11-07
关于进一步完善政策环境加大力度支持民间投资发展的意见,2022-11-07
农业农村部关于印发种业振兴行动部门工作协调机制工作制度的通知,2022-11-06
国家林业和草原局 农业农村部 自然资源部 国家乡村振兴局关于印发《“十四五”乡村绿化美化行动方案》的通知,2022-11-06
自然资源部办公厅关于过渡期内支持巩固拓展脱贫攻坚成果同乡村振兴有效衔接的通知,2022-11-05
关于调整国内客运航班运行财政补贴政策及做好清算工作的通知,2022-11-05
关于个人养老金有关个人所得税政策的公告,2022-11-05
教育部职业教育与成人教育司负责人就实施职业教育现场工程师专项培养计划答记者问,2022-11-05
教育部办公厅等五部门关于实施职业教育现场工程师专项培养计划的通知,2022-11-05
关于加快推动农村应急广播主动发布终端建设的通知,2022-11-03
国家矿山安监局 财政部关于印发《煤矿及重点非煤矿山重大灾害风险防控建设工作总体方案》的通知,2022-11-03
国家矿山安监局 财政部关于印发《尾矿库风险隐患治理工作总体方案》的通知,2022-11-03
全方位支持个体工商户发展 实施分型分类培育和精准帮扶,2022-11-02
《促进个体工商户发展条例》正式施行 为个体工商户发展增底气添信心,2022-11-02
为个体工商户发展提供全方位支持,2022-11-02
《促进个体工商户发展条例》11月1日起正式施行：促进个体工商户持续健康发展,2022-11-02
《黄河流域生态保护和高质量发展科技创新实施方案》政策解读,2022-11-02
科技部关于印发《黄河流域生态保护和高质量发展科技创新实施方案》的通知,2022-11-02
关于印发《“十四五”生态环境领域科技创新专项规划》的通知,2022-11-02
司法部、市场监管总局负责人就《促进个体工商户发展条例》答记者问,2022-11-02
为个体经济健康发展提供法治保障——司法部、市场监管总局有关负责人就《促进个体工商户发展条例》答记者问,2022-11-02
国家发展改革委、国家统计局有关负责同志就《关于进一步做好原料用能不纳入能源消费总量控制有关工作的通知》答记者问,2022-11-01
关于进一步做好原料用能不纳入能源消费总量控制有关工作的通知,2022-11-01
《促进个体工商户发展条例》正式实施为扶持个体工商户发展创造良好环境,2022-11-01
《虚拟现实与行业应用融合发展行动计划（2022—2026年）》解读,2022-11-01
建设全国一体化政务大数据体系 推进国家治理体系和治理能力现代化,2022-11-01
农业农村部关于推进稻渔综合种养产业高质量发展的指导意见,2022-11-01
《“四好农村路”全国示范县创建管理办法》解读,2022-11-01
关于印发《“四好农村路”全国示范县创建管理办法》的通知,2022-11-01
三部门关于组织开展2022年度重点用能行业能效“领跑者”企业遴选工作的通知,2022-11-01
关于印发《出国留学经费管理办法》的通知,2022-11-01
综合立体交通网主骨架2035年建成,2022-11-01
《机动车驾驶员培训管理规定》解读,2022-10-31
商务部有关负责人就《鼓励外商投资产业目录（2022年版）》答记者问,2022-10-29
民政部 财政部 中国残联关于加强残疾人两项补贴精准管理的意见,2022-10-29
超2万亿的增值税留抵退税，国务院又有新部署,2022-10-28
国家发展改革委办公厅 国家能源局综合司关于促进光伏产业链健康发展有关事项的通知,2022-10-28
鼓励外商投资产业目录（2022年版）,2022-10-28
国务院办公厅关于印发全国一体化政务大数据体系建设指南的通知,2022-10-28
国家中医药管理局关于印发《“十四五”中医药人才发展规划》的通知,2022-10-28
关于知识产权助力专精特新中小企业创新发展若干措施的通知,2022-10-28
推动个体工商户实现长远健康发展——聚焦《促进个体工商户发展条例》,2022-10-27
《促进个体工商户发展条例》公布——解决个体工商户“急难愁盼”问题,2022-10-27
国务院办公厅关于印发第十次全国深化“放管服”改革电视电话会议重点任务分工方案的通知,2022-10-26
解读《全面深化民航改革行动计划》,2022-10-26
促进个体工商户发展条例,2022-10-25
国家知识产权局办公室关于确定首批国家级专利导航工程支撑服务机构的通知,2022-10-19
农业农村部 国家乡村振兴局关于公布2022年国家乡村振兴示范县创建名单的通知,2022-10-17
关于暂行延长药品注册申请补充资料时限的公告,2022-10-15
中国民用航空局关于印发民航大数据建设发展的指导意见的通知,2022-10-14
加快培育中小企业特色产业集群,2022-10-13
关于进一步做好2022年服务业小微企业和个体工商户房屋租金减免工作的通知,2022-10-12
交通运输部办公厅关于印发《交通强国建设试点工作管理办法（试行）》的通知,2022-10-12
工业和信息化部办公厅关于开展2022纺织服装“优供给促升级”活动的通知,2022-10-12
中国加快建设高技能人才队伍,2022-10-12
关于企业投入基础研究税收优惠政策的公告,2022-10-11
工业和信息化部办公厅关于组织开展工业互联网一体化进园区“百城千园行”活动的通知,2022-10-09
下决心做优做细政务服务,2022-10-04
国家药监局关于缓缴药品、医疗器械产品注册费的公告,2022-10-02
银保监会、人民银行有关部门负责人就《关于推动动产和权利融资业务健康发展的指导意见》答记者问,2022-10-01
关于缓缴涉及企业、个体工商户部分行政事业性收费的公告,2022-10-01
关于《国家税务总局关于支持居民换购住房个人所得税政策有关征管事项的公告》的解读,2022-10-01
国家税务总局关于支持居民换购住房个人所得税政策有关征管事项的公告,2022-10-01
关于支持居民换购住房有关个人所得税政策的公告,2022-10-01
中国银保监会 中国人民银行关于推动动产和权利融资业务健康发展的指导意见,2022-10-01
国家税务总局关于优化纳税人延期缴纳税款等税务事项管理方式的公告,2022-09-30
政策加力，为制造业高质量发展添动能,2022-09-30
交通运输部 国家发展改革委关于阶段性降低货物港务费收费标准的通知,2022-09-30
交通运输部 财政部关于做好阶段性减免收费公路货车通行费有关工作的通知,2022-09-30
健全联农带农机制·发展庭院经济·组建产业顾问组——国家乡村振兴局有关负责人谈当前乡村振兴工作三个着力点,2022-09-30
国务院办公厅转发财政部、国家林草局（国家公园局）关于推进国家公园建设若干财政政策意见的通知,2022-09-29
关于印发《民政部贯彻落实〈国务院关于加强数字政府建设的指导意见〉的实施方案》的通知,2022-09-29
交通运输部办公厅关于进一步支持公路建设领域中小企业发展的通知,2022-09-29
《关于加快内河船舶绿色智能发展的实施意见》解读,2022-09-29
工业和信息化部等五部委关于加快内河船舶绿色智能发展的实施意见,2022-09-29
关于印发《政府会计准则制度解释第5号》的通知,2022-09-29
国务院办公厅关于对国务院第九次大督查发现的典型经验做法给予表扬的通报,2022-09-28
中国人民银行有关负责人就设立设备更新改造专项再贷款答记者问,2022-09-28
交通运输部 自然资源部 国家铁路局 中国民用航空局 国家邮政局关于印发《综合客运枢纽投资补助项目管理办法》的通知,2022-09-28
国家发展改革委有关负责同志就《污泥无害化处理和资源化利用实施方案》答记者问,2022-09-28
增设一批市场采购贸易方式试点——新一轮稳外贸政策发布,2022-09-28
以高质量的摸排整改成果推动农村厕所革命提质增效,2022-09-28
加大政策支持力度 激发外贸增长新动能,2022-09-28
财政部 税务总局 科技部关于加大支持科技创新税前扣除力度的公告,2022-09-27
工业和信息化部办公厅 国家发展改革委办公厅 财政部办公厅 市场监管总局办公厅关于开展2022年度智能制造试点示范行动的通知,2022-09-27
关于延续新能源汽车免征车辆购置税政策的公告,2022-09-26
《智能冷藏集装箱终端设备技术指南》解读,2022-09-25
交通运输部办公厅关于印发《智能冷藏集装箱终端设备技术指南》的通知,2022-09-25
中国银保监会关于修改部分行政许可规章的决定,2022-09-25
货币政策着力巩固经济恢复基础,2022-09-25
扩大对民企和小微信贷支持,2022-09-25
人力资源社会保障部办公厅 国家发展改革委办公厅 财政部办公厅 国家税务总局办公厅关于进一步做好阶段性缓缴社会保险费政策实施工作有关问题的通知,2022-09-24
教育部办公厅关于印发《新农科人才培养引导性专业指南》的通知,2022-09-24
国务院办公厅关于深化电子电器行业管理制度改革的意见,2022-09-23
人力资源社会保障部 财政部关于印发《国家级高技能人才培训基地和技能大师工作室建设项目实施方案》的通知,2022-09-23
国务院部署多项举措全力保通保畅,2022-09-23
农业农村部办公厅关于做好“三秋”机械化生产工作的通知,2022-09-21
关于《国家税务总局 财政部关于制造业中小微企业继续延缓缴纳部分税费有关事项的公告》的解读,2022-09-19
国务院国资委政策法规局负责人就《中央企业合规管理办法》答记者问,2022-09-19
财政政策着力扩投资促消费,2022-09-19
国家税务总局 财政部关于制造业中小微企业继续延缓缴纳部分税费有关事项的公告,2022-09-18
《原材料工业“三品”实施方案》解读,2022-09-16
工业和信息化部办公厅 国务院国有资产监督管理委员会办公厅 国家市场监督管理总局办公厅 国家知识产权局办公室关于印发原材料工业“三品”实施方案的通知,2022-09-16
国务院办公厅关于进一步优化营商环境降低市场主体制度性交易成本的意见,2022-09-15
延长缓税期限、新增再贷款，国常会加力助企纾困、扩需求、稳外贸,2022-09-15
国务院再延缓制造业税收4400亿元，企业称减压,2022-09-15
住房和城乡建设部办公厅 国家发展改革委办公厅 国家疾病预防控制局综合司关于加强城市供水安全保障工作的通知,2022-09-15
制造业缓税补缴期限再延长,2022-09-15
《促进中小企业特色产业集群发展暂行办法》解读,2022-09-14
工业和信息化部关于印发《促进中小企业特色产业集群发展暂行办法》的通知,2022-09-14
2022年移动物联网应用典型案例征集活动解读,2022-09-13
农业农村部科技教育司有关负责人就野生蚯蚓保护相关问题答记者问,2022-09-13
工业和信息化部办公厅关于组织开展2022年移动物联网应用典型案例征集活动的通知,2022-09-13
治理过度包装 让商品回归本色,2022-09-13
治理商品过度包装 扎实推进包装行业绿色发展,2022-09-13
包装“瘦身” 再出新招,2022-09-13
破难题 补短板 强优势 做优做强一批种业龙头企业,2022-09-12
《国家医疗保障局关于开展口腔种植医疗服务收费和耗材价格专项治理的通知》政策解读,2022-09-10
五方面新举措加力促就业创业——国务院常务会解读,2022-09-09
市场监管总局关于在全国范围内推进认证机构资质审批“证照分离”改革的公告,2022-09-09
国务院办公厅关于进一步加强商品过度包装治理的通知,2022-09-08
工业和信息化部办公厅关于印发5G全连接工厂建设指南的通知,2022-09-08
教育部职业教育与成人教育司负责人就新版《职业教育专业简介》答记者问,2022-09-08
关于印发《中央财政关于推动黄河流域生态保护和高质量发展的财税支持方案》的通知,2022-09-07
黄河攻坚战行动方案专家解读：坚持重在保护、要在治理 着力打好黄河生态保护治理攻坚战,2022-09-07
为村级组织减负 为乡村治理增效——民政部、中央组织部、中央农办负责人就《关于规范村级组织工作事务、机制牌子和证明事项的意见》答记者问,2022-09-07
以优质供给引领消费 家居产业迈向高质量发展,2022-09-07
科学普及与科技创新协同发力 为世界科技强国建设提供强劲支撑——科技部党组书记、部长王志刚解读《关于新时代进一步加强科学技术普及工作的意见》,2022-09-06
在落实好稳经济一揽子政策同时再实施19项接续政策 加力巩固经济恢复发展基础,2022-09-06
稳经济一揽子政策和接续政策形成组合效应 加快释放效能,2022-09-06
进一步发挥重大项目牵引和政府投资撬动作用 稳经济接续政策加紧细化落地,2022-09-06
政策“接力”，“加码”稳增长,2022-09-06
关于新增下达增值税留抵退税转移支付预算的通知,2022-09-06
加快构建大科普发展格局——国新办发布会聚焦加强新时代科普工作,2022-09-06
新时代推进科普工作系统布局已形成——专家解读《关于新时代进一步加强科学技术普及工作的意见》,2022-09-06
充分释放政策效能 进一步巩固经济恢复基础——相关部门介绍稳经济一揽子政策的接续政策措施,2022-09-05
关于印发《安全生产预防和应急救援能力建设补助资金管理办法》的通知,2022-09-05
中央网信办有关负责同志就《数字乡村标准体系建设指南》答记者问,2022-09-04
国家标准化管理委员会关于开展国家标准化创新发展试点率先实现“四个转变”的指导意见,2022-09-04
《医疗卫生机构网络安全管理办法》的政策解读,2022-09-04
对涉企违规收费零容忍,2022-09-04
更好发挥基础设施建设稳增长作用,2022-09-03
国务院关于支持山东深化新旧动能转换推动绿色低碳高质量发展的意见,2022-09-02
26条政策措施为养老托育服务业纾困解难,2022-09-02
《养老托育服务业纾困扶持若干政策措施》印发,2022-09-02
两部门关于征集智能体育典型案例的通知,2022-09-02
中华人民共和国财政部公告2022年第26号,2022-09-02
三部门有关负责人解读26条养老托育服务业纾困扶持政策,2022-09-01
开创新时代全民国防教育工作新局面——中央宣传部负责人就《关于加强和改进新时代全民国防教育工作的意见》答记者问,2022-09-01
国家发展改革委等部门关于阶段性调整价格补贴联动机制加大对困难群众物价补贴力度的通知,2022-09-01
国务院部署8方面举措 着力扩大有效需求,2022-09-01
国家发展改革委等部门印发《养老托育服务业纾困扶持若干政策措施》的通知,2022-08-31
《加快电力装备绿色低碳创新发展行动计划》解读,2022-08-30
用好金融工具新增额度,2022-08-30
工业和信息化部 财政部 商务部 国务院国有资产监督管理委员会 国家市场监督管理总局关于印发加快电力装备绿色低碳创新发展行动计划的通知,2022-08-29
科技部等六部门发文统筹推进场景创新 让人工智能充分赋能经济社会发展,2022-08-28
六部门发文以场景创新推动人工智能发展看点解析,2022-08-27
国务院政策吹风会：不断完善困难群众兜底保障措施,2022-08-27
工业和信息化部办公厅关于开展中小企业数字化服务节活动的通知,2022-08-27
全面落实低保扩围 阶段性调整价格补贴联动机制——国务院政策例行吹风会聚焦加大困难群众兜底保障,2022-08-27
今年9月份至明年3月份优化调整联动机制 加大对困难群众补贴力度,2022-08-27
切实兜住兜牢民生底线,2022-08-27
低保扩围，加大对困难群众物价补贴力度 切实兜住兜牢民生底线,2022-08-27
中国人民银行 发展改革委 财政部 生态环境部 银保监会 证监会关于印发《重庆市建设绿色金融改革创新试验区总体方案》的通知,2022-08-26
《信息通信行业绿色低碳发展行动计划（2022-2025年）》解读,2022-08-26
国家发展改革委等部门关于新时代推进品牌建设的指导意见,2022-08-25
更好服务大众出行 促进电动汽车产业发展——解读《加快推进公路沿线充电基础设施建设行动方案》,2022-08-25
《加快推进公路沿线充电基础设施建设行动方案》政策解读,2022-08-25
三部门关于促进光伏产业链供应链协同发展的通知,2022-08-25
文化和旅游部关于公布第二批国家级夜间文化和旅游消费集聚区名单的通知,2022-08-25
我国知识产权转化运用成效良好,2022-08-25
教育部就《全面推进“大思政课”建设的工作方案》答记者问,2022-08-24
教育部等十部门关于印发《全面推进“大思政课”建设的工作方案》的通知,2022-08-24
教育部办公厅 农业农村部办公厅 中国科协办公厅关于支持建设一批科技小院的通知,2022-08-23
绿色交通有了新版标准,2022-08-23
《绿色交通标准体系（2022年）》解读,2022-08-23
关于法律援助补贴有关税收政策的公告,2022-08-22
交通运输部 国家发展改革委 财政部 农业农村部 中国人民银行 国家乡村振兴局关于印发《农村公路扩投资稳就业更好服务乡村振兴实施方案》的通知,2022-08-20
关于印发《科学事业单位财务制度》的通知,2022-08-20
两部门关于举办专精特新中小企业面向2022届高校毕业生网上招聘活动的通知,2022-08-20
国家发展改革委有关负责同志就《关于加快建立统一规范的碳排放统计核算体系实施方案》答记者问,2022-08-19
《关于加快邮轮游艇装备及产业发展的实施意见》文字解读,2022-08-19
工业和信息化部等五部委关于加快邮轮游艇装备及产业发展的实施意见,2022-08-18
做好科技支撑“双碳”工作 科技部等九部门印发最新实施方案,2022-08-18
《“十四五”卫生健康人才发展规划》解读,2022-08-18
《科技支撑碳达峰碳中和实施方案（2022—2030年）》政策解读,2022-08-18
国家卫生健康委关于印发“十四五”卫生健康人才发展规划的通知,2022-08-18
科技部等九部门关于印发《科技支撑碳达峰碳中和实施方案（2022—2030年）》的通知,2022-08-18
工业和信息化部办公厅 财政部办公厅关于开展财政支持中小企业数字化转型试点工作的通知,2022-08-17
教育部关于推进新时代普通高等学校学历继续教育改革的实施意见,2022-08-17
以工代赈，“老乡”就业有了新选择,2022-08-17
关于加强农村公共厕所建设和管理的通知,2022-08-16
科技部 中央宣传部 中国科协关于印发《“十四五”国家科学技术普及发展规划》的通知,2022-08-16
科技部 财政部关于印发《企业技术创新能力提升行动方案（2022—2023年）》的通知,2022-08-15
科技部关于支持建设新一代人工智能示范应用场景的通知,2022-08-15
中国气象局办公室关于印发《中国气象局重点创新团队建设与管理工作方案》的通知,2022-08-14
《商标侵权判断标准》理解与适用,2022-08-14
科技部等六部门关于印发《关于加快场景创新以人工智能高水平应用促进经济高质量发展的指导意见》的通知,2022-08-12
关于印发《中央专项彩票公益金支持“阳光驿站”项目管理办法》的通知,2022-08-12
中央依法治国办有关负责同志就《关于进一步加强市县法治建设的意见》答记者问,2022-08-12
我国多措并举推动轻工业稳健发展,2022-08-11
科技部办公厅 财政部办公厅 自然科学基金委办公室关于进一步加强统筹国家科技计划项目立项管理工作的通知,2022-08-11
关于印发《中小学校财务制度》的通知,2022-08-11
